game_minute,hit_diff,shot_diff,goal_diff,win,game,win_prob,Game Description
75,-13,24,0,1,2021020972,0.5959856563279932,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
76,-13,24,0,1,2021020972,0.596592040701755,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
77,-13,24,0,1,2021020972,0.597198130067319,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
78,-13,24,0,1,2021020972,0.5978039227184633,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
79,-13,24,0,1,2021020972,0.5984094169525174,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
80,-13,23,1,1,2021020972,0.9617272774132462,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
0,1,-2,0,1,2018020660,0.5497955074231653,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
1,0,-1,1,1,2018020660,0.5585125271981572,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
2,-2,-2,1,1,2018020660,0.5672992926255249,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
3,-3,-2,2,1,2018020660,0.6017292753370984,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
4,-5,-2,2,1,2018020660,0.6188399033114327,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
5,-7,-3,2,1,2018020660,0.6357346871221448,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
6,-7,-5,2,1,2018020660,0.6520061116564472,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
7,-7,-5,2,1,2018020660,0.6680118058723438,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
8,-7,-5,2,1,2018020660,0.6836385295351864,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
9,-7,-1,2,1,2018020660,0.6991394448122312,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
10,-8,1,2,1,2018020660,0.7143655173711758,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
11,-8,-2,2,1,2018020660,0.7285253486948907,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
12,-11,-3,2,1,2018020660,0.7432293475687916,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
13,-11,-6,2,1,2018020660,0.7564481088504824,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
14,-11,-8,2,1,2018020660,0.7692498368116084,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
15,-10,-8,2,1,2018020660,0.7814133592593094,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
16,-8,-10,2,1,2018020660,0.792542696393106,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
17,-8,-9,2,1,2018020660,0.8041166314628867,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
18,-7,-7,2,1,2018020660,0.8149643726622819,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
19,-8,-8,2,1,2018020660,0.8257146903988019,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
20,-8,-8,2,1,2018020660,0.8357457425922419,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
21,-8,-5,2,1,2018020660,0.8456099043057524,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
22,-7,-5,2,1,2018020660,0.8543665839504437,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
23,-8,-4,3,1,2018020660,0.9344226542193746,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
24,-7,-7,3,1,2018020660,0.9403552141232762,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
25,-8,-7,3,1,2018020660,0.9462205253046128,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
26,-8,-7,3,1,2018020660,0.951399181122308,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
27,-7,-9,3,1,2018020660,0.955875761535658,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
28,-7,-8,4,1,2018020660,0.9848144171812122,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
29,-7,-9,4,1,2018020660,0.9867825041502868,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
30,-8,-10,4,1,2018020660,0.988540555020947,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
31,-10,-11,4,1,2018020660,0.9901072003035548,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
32,-10,-12,4,1,2018020660,0.991396667696161,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
33,-8,-13,4,1,2018020660,0.9924567988926604,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
